domain,category,function,sentence
정보 전달,1. 정보 전달⋅요구하기,1.1. (정체) 확인하기와 상술하기,This is/That’s/It’s/They’re ... .
정보 전달,1. 정보 전달⋅요구하기,1.1. (정체) 확인하기와 상술하기,The man over there is Mr. Kim.
정보 전달,1. 정보 전달⋅요구하기,1.1. (정체) 확인하기와 상술하기,We have three cats and one dog.
정보 전달,1. 정보 전달⋅요구하기,1.1. (정체) 확인하기와 상술하기,My father is 45 years old.
정보 전달,1. 정보 전달⋅요구하기,1.2.1. 개인 정보 제공하기,My name is John.
정보 전달,1. 정보 전달⋅요구하기,1.2.1. 개인 정보 제공하기,I’m from the north of Canada.
정보 전달,1. 정보 전달⋅요구하기,1.2.1. 개인 정보 제공하기,I have three sisters and one brother.
정보 전달,1. 정보 전달⋅요구하기,1.2.2. 습관과 일과 묘사하기,He goes to school at 8:30.
정보 전달,1. 정보 전달⋅요구하기,1.2.2. 습관과 일과 묘사하기,I always go swimming on Tuesdays.
정보 전달,1. 정보 전달⋅요구하기,1.2.2. 습관과 일과 묘사하기,On Sundays I visit my grandmother.
정보 전달,1. 정보 전달⋅요구하기,1.2.2. 습관과 일과 묘사하기,John comes to my office every Tuesday.
정보 전달,1. 정보 전달⋅요구하기,1.2.3. 시간 말하기,What time is it? A quarter to six.
정보 전달,1. 정보 전달⋅요구하기,1.2.3. 시간 말하기,Do you have the time?
정보 전달,1. 정보 전달⋅요구하기,1.2.3. 시간 말하기,It’s 10:45.
정보 전달,1. 정보 전달⋅요구하기,1.2.3. 시간 말하기,The train leaves at three o’clock.
정보 전달,1. 정보 전달⋅요구하기,1.2.4. 인물 묘사하기,Ann has blue eyes.
정보 전달,1. 정보 전달⋅요구하기,1.2.4. 인물 묘사하기,Tom is tall and slim.
정보 전달,1. 정보 전달⋅요구하기,1.2.4. 인물 묘사하기,Mary has long brown hair.
정보 전달,1. 정보 전달⋅요구하기,1.2.5. 사물 묘사하기,It’s blue and it’s made of plastic.
정보 전달,1. 정보 전달⋅요구하기,1.2.5. 사물 묘사하기,It has four doors.
정보 전달,1. 정보 전달⋅요구하기,1.2.5. 사물 묘사하기,It is bigger than an elephant.
정보 전달,1. 정보 전달⋅요구하기,1.2.6. 장소 묘사하기,Seoul is the capital city of Korea.
정보 전달,1. 정보 전달⋅요구하기,1.2.6. 장소 묘사하기,It has 5 royal palaces and many historic sites.
정보 전달,1. 정보 전달⋅요구하기,1.2.6. 장소 묘사하기,It’s also famous for ... .
정보 전달,1. 정보 전달⋅요구하기,1.2.7. 경험이나 사건 묘사하기,"Last week, I visited Jejudo."
정보 전달,1. 정보 전달⋅요구하기,1.2.7. 경험이나 사건 묘사하기,"It was cool, but windy."
정보 전달,1. 정보 전달⋅요구하기,1.2.7. 경험이나 사건 묘사하기,I took a taxi and ... .
정보 전달,1. 정보 전달⋅요구하기,1.2.8. 이야기 서술하기,"Once upon a time, there lived a giant."
정보 전달,1. 정보 전달⋅요구하기,1.2.8. 이야기 서술하기,He was ... .
정보 전달,1. 정보 전달⋅요구하기,1.3. 수정하기,"No, it isn’t."
정보 전달,1. 정보 전달⋅요구하기,1.3. 수정하기,(Sorry.) That’s/It’s not right.
정보 전달,1. 정보 전달⋅요구하기,1.3. 수정하기,"(No,) this is MY bag."
정보 전달,1. 정보 전달⋅요구하기,1.3. 수정하기,(I think) you’ve made a mistake.
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,Is she from Egypt?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,Do you like dancing?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,Who is he?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,Whose notebook is this/that?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,What is your name?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,What time is it?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,Which movie do you want to see?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,Where did she go to university?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,When did it happen?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,Why are we waiting?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,How did they travel?
정보 전달,1. 정보 전달⋅요구하기,1.4. 질문하고 답하기,How much does it cost?
태도 및 의견,1. 사실에 대한 태도 표현하기,1.1. 동의하기,"Me, too."
태도 및 의견,1. 사실에 대한 태도 표현하기,1.1. 동의하기,Okay!/Of course!/Good!/Fine!/Great!
태도 및 의견,1. 사실에 대한 태도 표현하기,1.1. 동의하기,"(Yes,) I agree."
태도 및 의견,1. 사실에 대한 태도 표현하기,1.1. 동의하기,Exactly!/Certainly!
태도 및 의견,1. 사실에 대한 태도 표현하기,1.1. 동의하기,That’s a good idea.
태도 및 의견,1. 사실에 대한 태도 표현하기,1.1. 동의하기,That’s right.
태도 및 의견,1. 사실에 대한 태도 표현하기,1.2. 이의 제기하거나 부인하기,I don’t think/believe so.
태도 및 의견,1. 사실에 대한 태도 표현하기,1.2. 이의 제기하거나 부인하기,I don’t agree/disagree (with you).
태도 및 의견,1. 사실에 대한 태도 표현하기,1.2. 이의 제기하거나 부인하기,That isn’t true.
태도 및 의견,1. 사실에 대한 태도 표현하기,1.2. 이의 제기하거나 부인하기,That’s not right/correct.
태도 및 의견,1. 사실에 대한 태도 표현하기,1.2. 이의 제기하거나 부인하기,Of course not.
태도 및 의견,1. 사실에 대한 태도 표현하기,1.2. 이의 제기하거나 부인하기,You’re wrong.
태도 및 의견,1. 사실에 대한 태도 표현하기,1.2. 이의 제기하거나 부인하기,I don’t think ... .
태도 및 의견,1. 사실에 대한 태도 표현하기,1.3. 동의나 이의 여부 묻기,What do you think?
태도 및 의견,1. 사실에 대한 태도 표현하기,1.3. 동의나 이의 여부 묻기,Don’t you agree?
태도 및 의견,1. 사실에 대한 태도 표현하기,1.3. 동의나 이의 여부 묻기,Would/Do you agree with me?
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,I (don’t) know (about) ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,I heard/have heard (about) ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,I’m aware (of) ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,I have no idea.
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,I haven’t got a clue.
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,Do you know (about) ... ?
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,Have you heard (about) ... ?
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,"You know ... (, don’t you)?"
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.1. 알거나 모름 표현하기,Are you aware (of) ... ?
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.2. 궁금증 표현하기,I’m curious about ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.2. 궁금증 표현하기,I wonder ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.2. 궁금증 표현하기,I’d be (very) interested to know ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.2. 궁금증 표현하기,Can someone tell me about ... ?
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.2. 궁금증 표현하기,I have a question.
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.2. 궁금증 표현하기,"(Please,) Tell me (about)... ."
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.3. 기억이나 망각 표현하기,I (don’t/can’t) remember ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.3. 기억이나 망각 표현하기,I (nearly/completely) forgot (about that/where I put my bag).
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.3. 기억이나 망각 표현하기,I’ll never forget ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.3. 기억이나 망각 표현하기,Do/Don’t you remember ... ?
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.3. 기억이나 망각 표현하기,I wonder if you remember ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.3. 기억이나 망각 표현하기,"You haven’t forgotten about ... , have you?"
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.4. 상기시키기,Remember to ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.4. 상기시키기,Remind me to ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.4. 상기시키기,Don’t forget to ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.5. 확실성 정도 표현하기,I’m (not) sure.
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.5. 확실성 정도 표현하기,Are you sure/certain about ... ?
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.5. 확실성 정도 표현하기,I have no doubt.
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.5. 확실성 정도 표현하기,I’m (not) (quite/fairly/absolutely) sure/certain ... .
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.5. 확실성 정도 표현하기,How sure are you that ... ?
태도 및 의견,"2. 지식, 기억, 믿음 표현하기",2.5. 확실성 정도 표현하기,It seems ... .
태도 및 의견,3. 양상 표현하기,3.1. 가능성 정도 표현하기,... may/can be changed.
태도 및 의견,3. 양상 표현하기,3.1. 가능성 정도 표현하기,Perhaps/Possibly/Maybe they will ... .
태도 및 의견,3. 양상 표현하기,3.1. 가능성 정도 표현하기,They should/ought to ... .
태도 및 의견,3. 양상 표현하기,3.1. 가능성 정도 표현하기,It is certain/probable/likely/possible/ impossible that ... .
태도 및 의견,3. 양상 표현하기,3.1. 가능성 정도 표현하기,May/Can John ... ?
태도 및 의견,3. 양상 표현하기,3.1. 가능성 정도 표현하기,Is Mary likely to ... ?
