word,stars,level,alt_spelling,derived
a,*,초등,,an
abandon,,선택,,
able,**,중고공통,,disabled
aboard,,선택,,
abort,,선택,,abortion
abound,,선택,,abundant
about,*,초등,,
above,*,초등,,
abroad,,선택,,
absent,,선택,,
absolute,**,중고공통,,
absorb,,선택,,
abstract,,선택,,
absurd,,선택,,
abuse,,선택,,
academy,,선택,,
accelerate,,선택,,
accent,**,중고공통,,
accept,**,중고공통,,
access,**,중고공통,,
accident,**,중고공통,,
accommodate,,선택,,
accompany,,선택,,
accomplish,,선택,,
accord,,선택,,
account,**,중고공통,,
accumulate,,선택,,
accurate,,선택,,
accuse,**,중고공통,,
ache,,선택,,headache
achieve,**,중고공통,,
acid,,선택,,
acknowledge,,선택,,
acquire,,선택,,
acquisition,,선택,,
across,*,초등,,
act,*,초등,,"actual, interact"
adapt,**,중고공통,,
add,*,초등,,
addict,,선택,,
address,*,초등,,
adequate,,선택,,
adjust,,선택,,
administer,,선택,,administration
admire,**,중고공통,,
admit,**,중고공통,,admission
adolescent,,선택,,
adopt,**,중고공통,,
adult,*,초등,,
advance,**,중고공통,,
advantage,**,중고공통,,disadvantage
adventure,**,중고공통,,
adverse,,선택,,
advertize,**,중고공통,advertise,
advice,**,중고공통,,
advise,**,중고공통,,
advocate,,선택,,
aesthetic,,선택,,
affair,**,중고공통,,
affect,**,중고공통,,affection
afford,**,중고공통,,
afraid,*,초등,,
after,*,초등,,
afternoon,*,초등,,
again,*,초등,,
against,*,초등,,
age,*,초등,,
agency,,선택,,
agenda,,선택,,
agent,**,중고공통,,
aggress,,선택,,aggressive
ago,*,초등,,
agree,*,초등,,disagree
agriculture,,선택,,
ahead,*,초등,,
aid,**,중고공통,,
aim,**,중고공통,,
air,*,초등,,
airline,**,중고공통,,
airplane,*,초등,aeroplane,
airport,**,중고공통,,
alarm,**,중고공통,,
album,*,초등,,
alcohol,**,중고공통,,
alert,,선택,,
alien,,선택,,
alike,,선택,,
alive,**,중고공통,,
all,*,초등,,
allocate,,선택,,
allow,**,중고공통,,
ally,,선택,,
almost,*,초등,,
alone,*,초등,,
along,*,초등,,
alongside,,선택,,
aloud,**,중고공통,,
already,*,초등,,
alright,*,초등,,
also,*,초등,,
alter,**,중고공통,,
alternate,,선택,,alternative
although,**,중고공통,,
altogether,**,중고공통,,
always,*,초등,,
amaze,**,중고공통,,
ambassador,,선택,,
ambition,,선택,,ambitious
ambulance,**,중고공통,,
among,**,중고공통,,
amount,**,중고공통,,
amuse,**,중고공통,,
analysis,**,중고공통,,
analyze,,선택,analyse,
anchor,,선택,,
ancient,,선택,,
and,*,초등,,
angel,**,중고공통,,
anger,**,중고공통,,
angle,,선택,,
animal,*,초등,,
anniversary,,선택,,
announce,**,중고공통,,
annoy,**,중고공통,,
annual,**,중고공통,,
another,*,초등,,
answer,*,초등,,
ant,**,중고공통,,
anticipate,,선택,,
anxiety,,선택,,
anxious,**,중고공통,,
any,*,초등,,
apart,**,중고공통,,
apartment,*,초등,,
apology,,선택,,
apparent,,선택,,
appeal,**,중고공통,,
appear,**,중고공통,,disappear
apple,*,초등,,
apply,**,중고공통,,applicant
appoint,**,중고공통,,
appreciate,**,중고공통,,
approach,**,중고공통,,
appropriate,**,중고공통,,
approve,,선택,,
approximate,,선택,,
architect,,선택,,architecture
area,*,초등,,
argue,**,중고공통,,
arise,,선택,,
arm,*,초등,,
army,**,중고공통,,
around,*,초등,,
arrange,**,중고공통,,
arrest,**,중고공통,,
arrive,*,초등,,
arrow,,선택,,
art,*,초등,,
article,**,중고공통,,
artifice,,선택,,artificial
as,*,초등,,
aside,**,중고공통,,
ask,*,초등,,
asleep,**,중고공통,,
aspect,,선택,,
aspire,,선택,,
assault,,선택,,
assemble,,선택,,
assert,,선택,,
assess,**,중고공통,,
asset,,선택,,
assign,**,중고공통,,assignment
assist,**,중고공통,,assistant
associate,**,중고공통,,
assume,**,중고공통,,
assure,,선택,,
astonish,,선택,,
at,*,초등,,
athlete,,선택,,
atmosphere,**,중고공통,,
atom,,선택,,
attach,**,중고공통,,
attack,**,중고공통,,
attempt,**,중고공통,,
attend,**,중고공통,,
attention,**,중고공통,,
attitude,**,중고공통,,
attract,**,중고공통,,
attribute,,선택,,
auction,,선택,,
audience,**,중고공통,,
aunt,*,초등,,
authentic,,선택,,
author,,선택,,
automatic,**,중고공통,,
autumn,*,초등,,
avail,,선택,,available
average,**,중고공통,,
avoid,**,중고공통,,
await,,선택,,
awake,**,중고공통,,
award,**,중고공통,,
aware,**,중고공통,,unaware
away,*,초등,,
awe,,선택,,awful
awkward,**,중고공통,,
baby,*,초등,,
back,*,초등,,
background,**,중고공통,,
bacon,**,중고공통,,
bad,*,초등,,
badminton,*,초등,,
bag,*,초등,,
bake,*,초등,,
balance,**,중고공통,,
ball,*,초등,,
balloon,**,중고공통,,
ban,,선택,,
banana,*,초등,,
band,**,중고공통,,
bang,**,중고공통,,
bank,*,초등,,
bankrupt,,선택,,
bar,**,중고공통,,
bare,**,중고공통,,
bargain,,선택,,
bark,**,중고공통,,
barrier,,선택,,
base,*,초등,,
baseball,*,초등,,
basis,**,중고공통,,
basket,*,초등,,
basketball,*,초등,,
bat,*,초등,,
bath,*,초등,,
battery,**,중고공통,,
battle,**,중고공통,,
bay,**,중고공통,,
be,*,초등,,
beach,*,초등,,
beam,,선택,,
bean,**,중고공통,,
bear,*,초등,,
beard,,선택,,
beast,,선택,,
beat,**,중고공통,,
beauty,*,초등,,
because,*,초등,,
become,*,초등,,
bed,*,초등,,
bee,*,초등,,
beef,*,초등,,
beer,**,중고공통,,
before,*,초등,,
beg,**,중고공통,,
begin,*,초등,,
behalf,,선택,,
behave,,선택,,behavior / behaviour
behind,*,초등,,
belief,**,중고공통,,
believe,*,초등,,
bell,*,초등,,
belong,**,중고공통,,
below,*,초등,,
belt,*,초등,,
bench,**,중고공통,,
bend,**,중고공통,,
beneath,**,중고공통,,
benefit,**,중고공통,,
beside,*,초등,,
bet,**,중고공통,,
betray,,선택,,
between,*,초등,,
beyond,**,중고공통,,
bias,,선택,,
big,*,초등,,
bike,*,초등,,
bill,*,초등,,
billion,**,중고공통,,
bin,**,중고공통,,
bind,**,중고공통,,
biography,,선택,,
biology,,선택,,
bird,*,초등,,
birth,*,초등,,
biscuit,*,초등,,
bit,**,중고공통,,
bite,**,중고공통,,
bitter,**,중고공통,,
black,*,초등,,
blame,**,중고공통,,
blank,**,중고공통,,
blanket,**,중고공통,,
blast,,선택,,
blend,,선택,,
bless,**,중고공통,,
blind,**,중고공통,,
blink,,선택,,
block,**,중고공통,,
blonde,**,중고공통,,
blood,*,초등,,
bloom,**,중고공통,,
blossom,,선택,,
blow,**,중고공통,,
blue,*,초등,,
board,*,초등,,
boat,*,초등,,
body,*,초등,,embody
boil,**,중고공통,,
bold,,선택,,
bomb,**,중고공통,,
bond,**,중고공통,,
bone,*,초등,,
book,*,초등,,
boom,**,중고공통,,
boost,,선택,,
boot,**,중고공통,,
border,,선택,,
bore,**,중고공통,,
borrow,*,초등,,
boss,**,중고공통,,
both,*,초등,,
bother,**,중고공통,,
bottle,*,초등,,
bottom,*,초등,,
bounce,**,중고공통,,
boundary,,선택,,
bow,**,중고공통,,
bowl,**,중고공통,,
box,*,초등,,
boy,*,초등,,
brain,**,중고공통,,
brake,**,중고공통,,
branch,**,중고공통,,
brand,**,중고공통,,
brave,*,초등,,
bread,*,초등,,
break,*,초등,,
breakfast,*,초등,,
breast,**,중고공통,,
breath,**,중고공통,,
breathe,**,중고공통,,
breed,,선택,,
breeze,,선택,,
brick,**,중고공통,,
bridge,*,초등,,
brief,**,중고공통,,
bright,*,초등,,
brilliant,**,중고공통,,
bring,*,초등,,
broad,**,중고공통,,
broadcast,,선택,,
brother,*,초등,,
brown,*,초등,,
brush,*,초등,,
brute,,선택,,brutal
bubble,**,중고공통,,
budget,**,중고공통,,
bug,**,중고공통,,
build,*,초등,,
bulk,,선택,,
bull,,선택,,
bully,,선택,,
bump,**,중고공통,,
bunch,**,중고공통,,
bundle,,선택,,
burden,,선택,,
burn,*,초등,,
burst,**,중고공통,,
bury,**,중고공통,,
bus,*,초등,,
bush,**,중고공통,,
business,*,초등,,
busy,*,초등,,
but,*,초등,,
butcher,,선택,,
butter,*,초등,,
button,*,초등,,
buy,*,초등,,
buzz,,선택,,
by,*,초등,,
cable,**,중고공통,,
cage,**,중고공통,,
cake,*,초등,,
calculate,**,중고공통,,calculator
calendar,**,중고공통,,
call,*,초등,,
calm,**,중고공통,,
camera,*,초등,,
camp,*,초등,,
campaign,*,초등,,
can,*,초등,,
cancel,,선택,,
cancer,,선택,,
candidate,,선택,,
candy,*,초등,,
canvas,,선택,,
cap,*,초등,,
capable,**,중고공통,,
cape,**,중고공통,,
capital,**,중고공통,,
captain,**,중고공통,,
capture,,선택,,
car,*,초등,,
card,*,초등,,
care,*,초등,,
career,**,중고공통,,
carpet,**,중고공통,,
carrot,*,초등,,
carry,*,초등,,
cart,**,중고공통,,
carve,,선택,,
case,*,초등,,casual
cash,*,초등,,
cast,**,중고공통,,
castle,**,중고공통,,
cat,*,초등,,
catalogue,**,중고공통,catalog,
catch,*,초등,,
category,**,중고공통,,
cater,,선택,,
cattle,,선택,,
cause,**,중고공통,,causal
caution,,선택,,
cave,,선택,,
cease,,선택,,
ceiling,**,중고공통,,
celebrate,,선택,,
celebrity,,선택,,
cell,**,중고공통,,
censor,,선택,,
center,*,초등,,
century,**,중고공통,,
certain,*,초등,,
certificate,,선택,,
chain,**,중고공통,,
chair,*,초등,,
chairman,**,중고공통,,
challenge,**,중고공통,,
chamber,,선택,,
champion,**,중고공통,,
chance,*,초등,,
change,*,초등,,
channel,**,중고공통,,
chaos,,선택,,
character,**,중고공통,,
characteristic,**,중고공통,,
charge,**,중고공통,,discharge
